,Text,Aspect Term,Sentiment,Polarity
25,y0gi naraharinaatha le uhilyai gh0sanaa gare kaa rahechhna----- kaliyuga k0 anta tira raaksasa haru braahmana kula maa janma liera aunechhna .,raaksasa,GENERAL,1
26,tini haru le raajaa phaalnechhna dharma tyaagnechhna ani aphai saasanasattaa haata maa linechhna .,raajaa phaalnechhna dharma tyaagnechhna,GENERAL,1
27,tini haru le raajaa phaalnechhna dharma tyaagnechhna ani aphai saasanasattaa haata maa linechhna .,saasanasattaa haata maa linechhna,GENERAL,1
28,aja raaksasa baahuna haru prachande b0k0haraama ukhaane jastaa k0 raaja maa y0gi naraharinaatha k0 bhabisyabaanai thyaak kai mile k0 chha .,raaksasa,GENERAL,1
29,aja raaksasa baahuna haru prachande b0k0haraama ukhaane jastaa k0 raaja maa y0gi naraharinaatha k0 bhabisyabaanai thyaak kai mile k0 chha .,prachande,GENERAL,1
30,aja raaksasa baahuna haru prachande b0k0haraama ukhaane jastaa k0 raaja maa y0gi naraharinaatha k0 bhabisyabaanai thyaak kai mile k0 chha .,b0k0haraama ukhaane,GENERAL,1
31,y0 s0ma bhanne maanchhe nai bhu maaphiyaa jast0 laagy0 ... guthi khaana ae k0 maanchhe ... guthi jaggaa purna sarakaara k0 hunu parchha ... .,bhu maaphiyaa,GENERAL,1
32,dharma sumskarita j0gaauna newaara maatra nabhai baahuna chhetri taamaana sabai chhetra kaa maanchhe sadaka maa aunuparchha .,sadaka maa aunuparchha,GENERAL,0
33,"dharma saskariti sabai sakera desa isaaikarana garchha ne ka paa le aba sarakaari jaggaa ta bachaauna nasakiekaae abasthaa maa , .",desa isaaikarana garchha,GENERAL,1
34,chhaayaan sentara jastaa jaaegaaune prapancha haae yaae kati thulaae bitaae milyaae sachiwa jyu ?,kati thulaae bitaae milyaae,GENERAL,1
35,chhaayaan sentara jastaa jaaegaaune prapancha haae yaae kati thulaae bitaae milyaae sachiwa jyu ?,prapancha,GENERAL,1
36,y0 guthi bidayaka maa bisnau paudela k0 haata chha y0 pad maa aryaala bhane k0 bhu maaphiyaa k0 hanumaana h0 y0 gaddaara aimaai laai kaal0m0s0 dalera juttaa k0 maalaa laayara desa nikaalaa garnuparchha .,bhu maaphiyaa k0 hanumaana,GENERAL,1
37,y0 guthi bidayaka maa bisnau paudela k0 haata chha y0 pad maa aryaala bhane k0 bhu maaphiyaa k0 hanumaana h0 y0 gaddaara aimaai laai kaal0m0s0 dalera juttaa k0 maalaa laayara desa nikaalaa garnuparchha .,gaddaara,GENERAL,1
38,y0 guthi bidayaka maa bisnau paudela k0 haata chha y0 pad maa aryaala bhane k0 bhu maaphiyaa k0 hanumaana h0 y0 gaddaara aimaai laai kaal0m0s0 dalera juttaa k0 maalaa laayara desa nikaalaa garnuparchha .,kaal0m0s0 dalera juttaa k0 maalaa laayara desa nikaalaa garnuparchha,GENERAL,1
39,"janataa k0 naama maa netaa le khaana hune , kisaanakaae naama maa guthi haami le khaana nahune waa re waa , , .",khaana nahune waa re waa,GENERAL,1
40,yasa k0 bir0dha garne haru sabai nah0laana tara mukhyapaatra haru ahile samma tyahi guthi k0 chala achala sampati maathi rajaai garne harunai huna aba rajaai garna napaaine bh0 bhanera sadaka maa ayara r0ya kaa huna y0 haami sabai le bujhnu parchha .,rajaai garne,GENERAL,1
41,paribartana bir0dhi haru paribartana syukaarna gaarh0 bhaa k0 maatra h0 yi saba naataka huna .,naataka huna,GENERAL,1
42,jasa le je bhane pani akhira nepaala k0 dharma saskariti paramparaa maulika laai maasne nai h0 kina ahile ki sarakaara nastika ra h0li waaina khaane haru k0 chha .,nastika ra h0li waaina khaane,GENERAL,1
43,pakkai pani hindutwa samaapta paarne khela h0 ki jast0 bhaana amanaagarika maa bhae k0 chha pachhill0 guthi kaanda le .,samaapta paarne khela h0,GENERAL,1
44,"baakinai aba yahi ta thiy0 , guthi , aruta sabai khatama bhai sake k0 , nadinaalaa , kalakaarakhaanaa , dharma , saskariti , gai ta saky0 , baa ki asa laagd0 nepaali senaa chha , guthi , .",gai ta saky0,GENERAL,1
45,"baakinai aba yahi ta thiy0 , guthi , aruta sabai khatama bhai sake k0 , nadinaalaa , kalakaarakhaanaa , dharma , saskariti , gai ta saky0 , baa ki asa laagd0 nepaali senaa chha , guthi , .",khatama bhai sake k0,GENERAL,1
46,baahuna le chyaau khaae p0 swaada jastai guthi nai nabhae k0 baahuna laai guthi karma marma ke thaahaa kuraa le ta anapadha baahuna le phD laai nildinchha .,anapadha,GENERAL,1
47,baahuna le chyaau khaae p0 swaada jastai guthi nai nabhae k0 baahuna laai guthi karma marma ke thaahaa kuraa le ta anapadha baahuna le phD laai nildinchha .,guthi karma marma ke thaahaa,GENERAL,1
48,baahuna le chyaau khaae p0 swaada jastai guthi nai nabhae k0 baahuna laai guthi karma marma ke thaahaa kuraa le ta anapadha baahuna le phD laai nildinchha .,chyaau khaae p0 swaada,GENERAL,1
49,deutaa pani bechna laage baahuna ksetri le .,bechna laage,GENERAL,1
50,y0 dui janaa baahuna haru bhu maaphiyaa k0 ejenta haru huna .,bhu maaphiyaa k0 ejenta,GENERAL,1
51,y0 nepaala kaa baahuna saba lakhetanu prarane dina aay0 hindu h0sa waa baaaida / kiraanta maasera kisnana banaaune pani yinai hunu desa k0 saba srampadaa maasane bhae yi baahuna k0 kh0lda a0dane le. ... .,lakhetanu prarane,GENERAL,1
52,y0 nepaala kaa baahuna saba lakhetanu prarane dina aay0 hindu h0sa waa baaaida / kiraanta maasera kisnana banaaune pani yinai hunu desa k0 saba srampadaa maasane bhae yi baahuna k0 kh0lda a0dane le. ... .,srampadaa maasane bhae,GENERAL,1
53,bhrastaachaara bir0dhi abhiyantaa jnaanendra saahi maathi raajya dwaaraa barbara damana garera l0katantra k0 kammara muni k0 bhutlaa dekhaay0 .,kammara muni k0 bhutlaa dekhaay0,GENERAL,1
54,bhrastaachaara bir0dhi abhiyantaa jnaanendra saahi maathi raajya dwaaraa barbara damana garera l0katantra k0 kammara muni k0 bhutlaa dekhaay0 .,bhrastaachaara bir0dhi abhiyantaa,GENERAL,0
55,nepaala bir0dhi aparaadhi haru le paalek0 midiyaa kunai chuikka b0lenan .,aparaadhi haru le paalek0,GENERAL,1
56,kaantipura yastai aparaadhi dalaala haru le paalek0 eutaa midiyaa h0 .,aparaadhi dalaala haru le paalek0,GENERAL,1
57,upasthita widwaana haru maa kasa kasa k0 guthi chha ?,widwaana,GENERAL,0
58,kunaai jaati ra samudaaya laai maasnu yaa khatama garnuchha bhane usa k0 dharma ra sannskaara khatama garnu parchha bhanne niti h0 y0 guthi bidhyaayaka niti .,sannskaara khatama garnu parchha,GENERAL,1
59,y0 saba bhu maaphiyaa k0 chaala h0 bhane nepaala sarakaara pani tinai bhu maaphiyaa k0 g0ti bandaichha .,bhu maaphiyaa k0 g0ti,GENERAL,1
60,y0 saba bhu maaphiyaa k0 chaala h0 bhane nepaala sarakaara pani tinai bhu maaphiyaa k0 g0ti bandaichha .,bhu maaphiyaa k0 chaala,GENERAL,1
61,widheka phirtaa hunaiparchha natra chark0 and0lana hune chha ?,phirtaa hunaiparchha,GENERAL,1
62,dalaala netaa sarakaara le aphai m0hi bani hadapine daau h0 .,dalaala,GENERAL,1
63,dalaala netaa sarakaara le aphai m0hi bani hadapine daau h0 .,hadapine daau,GENERAL,1
64,yaahaan ta laat0 desa maa baath0 tanderi bhanejast0 bh0 .,laat0 desa maa baath0 tanderi,GENERAL,1
65,baame kaa chhaauraa haru le desa sakkne bhaya .,chhaauraa,GENERAL,1
66,baame kaa chhaauraa haru le desa sakkne bhaya .,desa sakkne bhaya,GENERAL,1
67,y0 sabai kaathmaad0 k0 nyaawaara jaati laai harulaai lagaarne niyaata h0 .,lagaarne niyaata,GENERAL,1
68,bhrasta ch0ra dalaali haru matha mandira k0 guthi byaaktigata naama maa garie k0 chha sarakaara le th0sa kadama chaal0sa .,bhrasta ch0ra dalaali,GENERAL,1
69,ahile dharma maatra beche kaa chhana ra ch0ra haru le sattaa maa ayapachhi 30 / 35 hajaara pratyeka nepaali k0 taauk0 maa rina b0kaaya k0 chha baru panchaayata thika rahechha .,thika rahechha,GENERAL,0
70,ahile dharma maatra beche kaa chhana ra ch0ra haru le sattaa maa ayapachhi 30 / 35 hajaara pratyeka nepaali k0 taauk0 maa rina b0kaaya k0 chha baru panchaayata thika rahechha .,ch0ra,GENERAL,1
71,y0 widheka maa ch0ra bhrastachaari baahuna chhetri haru k0 newaari kiraata adibaasi sumsariti maasne pelne manasaaya chha .,ch0ra bhrastachaari,GENERAL,1
72,y0 widheka maa ch0ra bhrastachaari baahuna chhetri haru k0 newaari kiraata adibaasi sumsariti maasne pelne manasaaya chha .,maasne pelne,GENERAL,1
73,"desa bechna ugra rupa maa laage kaa dalaala le desa , dubaaya .",dalaala,GENERAL,1
74,"Nimesh ji , why call pe0ple like S0m prasad . He is n0t specific in his w0rds and d0esnt refer t0 any fact while talking !",n0t specific in his w0rds,GENERAL,1
75,"Nimesh ji , why call pe0ple like S0m prasad . He is n0t specific in his w0rds and d0esnt refer t0 any fact while talking !",d0esnt refer t0 any fact,GENERAL,1
76,s0jhaa newaara laai niyamana gari raajanitika pahucha bhae kaa maanchhe k0 aghi pachhi garna laai laie k0 guthi bidayaka h0 y0 .,s0jhaa,GENERAL,0
77,s0jhaa newaara laai niyamana gari raajanitika pahucha bhae kaa maanchhe k0 aghi pachhi garna laai laie k0 guthi bidayaka h0 y0 .,pahucha bhae kaa maanchhe k0 aghi pachhi garna,GENERAL,1
78,haamraa matha mandira gumbaa dharma saskariti dhaaesta paarera ini haaeliwina arthaata haaechiwina kaae muta khaane haru le khrischiyana charcha banaauna khaaejekaae huna aba sabai napaali janataa milera desa nikaalaa garnu parchha .,haaechiwina kaae muta khaane,GENERAL,1
79,y0 paakhandi bhandaari krischiyana k0 dalaala 0li k0 muta piera h0li waaina k0 s0jh0 gardaichha nepaala k0 paramparaa saskaara saskariti maasne niyata h0 .,dalaala,GENERAL,1
80,y0 paakhandi bhandaari krischiyana k0 dalaala 0li k0 muta piera h0li waaina k0 s0jh0 gardaichha nepaala k0 paramparaa saskaara saskariti maasne niyata h0 .,muta piera,GENERAL,1
81,y0 paakhandi bhandaari krischiyana k0 dalaala 0li k0 muta piera h0li waaina k0 s0jh0 gardaichha nepaala k0 paramparaa saskaara saskariti maasne niyata h0 .,maasne niyata h0,GENERAL,1
82,sanaatana dharma maasne y0janaa anusaara a k0 y0 widheka h0 .,dharma maasne,GENERAL,1
83,"sabai tahatab kaa maa ch0rai ch0ra bhae , .",ch0rai ch0ra,GENERAL,1
84,"samasyaa y0 guthi k0 h0ina , samasyaa h0 siddhaamnta k0 kh0la 0de kaa bhu-maaphiyaa , taskara haru k0 guthi k0 jaggaa hadapane ani baidyataa dine .","bhu-maaphiyaa , taskara",GENERAL,1
85,y0 sabai samasyaa k0 samaadhaana k0 laagi y0 bhrasta raajya sattaa sadaa k0 laagi antya garna eka hau .,bhrasta,GENERAL,1
86,manda wisa gh0lera khubaaidaichha hareka widheyaka lyaaera janataa sajaka nahune h0 bhane taauke ra laauke le sabai chusne sr0ta kh0jdaichhan .,taauke ra laauke,GENERAL,1
87,adhikaari pasu h0 ki maanchhe baaluwaataara k0 jaggaa ta bechi khaayaum ajha guthi haru chh0dchhau timi haru dalaala le thukka nalaayaka pasu .,pasu,GENERAL,1
88,adhikaari pasu h0 ki maanchhe baaluwaataara k0 jaggaa ta bechi khaayaum ajha guthi haru chh0dchhau timi haru dalaala le thukka nalaayaka pasu .,thukka nalaayaka pasu,GENERAL,1
89,adhikaari pasu h0 ki maanchhe baaluwaataara k0 jaggaa ta bechi khaayaum ajha guthi haru chh0dchhau timi haru dalaala le thukka nalaayaka pasu .,dalaala,GENERAL,1
90,saata pustaa bhane k0 kati h0ra saata pustaa bhandaa bhadi bhay0 bhanera guthi khaane khela h0 .,guthi khaane khela h0,GENERAL,1
91,nepaala k0 astitwa metaauna laai y0 guthi kaanuna raamabaana h0 yaspachhi nepaala laai tahasa nahasa paarna aru kehi garna pardaina chetanaa bhaya .,astitwa metaauna,GENERAL,1
92,nepaala k0 astitwa metaauna laai y0 guthi kaanuna raamabaana h0 yaspachhi nepaala laai tahasa nahasa paarna aru kehi garna pardaina chetanaa bhaya .,tahasa nahasa paarna,GENERAL,1
93,"asti munakaae wariyapaana pani nepaalikaae hita maa bhandai thie aringaala haru ahile guthipani tyahi bhandaichhana , karisyana kaa bhatuwaa haru .",munakaae wariyapaana,GENERAL,1
94,"asti munakaae wariyapaana pani nepaalikaae hita maa bhandai thie aringaala haru ahile guthipani tyahi bhandaichhana , karisyana kaa bhatuwaa haru .",aringaala,GENERAL,1
95,"asti munakaae wariyapaana pani nepaalikaae hita maa bhandai thie aringaala haru ahile guthipani tyahi bhandaichhana , karisyana kaa bhatuwaa haru .",karisyana kaa bhatuwaa,GENERAL,1
96,aba guthi maa hastaksepa garirahe kaa chhana .,hastaksepa garirahe kaa,GENERAL,1
97,ma pani baahuna hu tara yi baahuna ksetri k0 naama maa kalanka harulaai charama yaatanaa diera maaridie hunchha .,kalanka,GENERAL,1
98,taa ki bh0li k0 dina maa desa k0 sankariti bechabikhana tathaa desa dr0ha garane dharistataa kasai le pani nagar0sa .,dharistataa,GENERAL,1
99,ma bhitra yini haru prati charama gharinaa chha .,gharinaa chha,GENERAL,1
100,"guthi le gardaa amerikaa , belaayata nabandaa upatyakaa sampanna bhaekaae haae .",sampanna bhaekaae haae,GENERAL,0
101,guthi sumchaalana garna jaanena .,sumchaalana garna jaanena,GENERAL,1
102,"raajya aphaim antaraastriya krischiyana ejenta banera h0liwaaina sammelana garchha k0riena krischiyana biswabiddhaalaya le krischiyana dharma phailaauna sahay0ga garebaapata bhanera diya k0 padawi thaapchha , sayaum krischiyana dharmapariwartana garna lagaani garne sumsthaa dartaa garna dinchha , yahi sarakaara le nepaala k0 parumraagata dharma , sumskariti ritiriwaaja j0gaaunchha bhannu eu taa bekuphi maatrai h0 sampurna sanaatana dharmaawalambi sadaka maa aunuparchha .",krischiyana ejenta,GENERAL,1
103,taai na tui k0 sadhai k0 bahasa .,taai na tui,GENERAL,1
104,baaluwaataara kaae jaggaa ta hadapekaae chha guthi tyasai chhaaedchhana baahuna haru le yaae eu taa sadayantra haae .,hadapekaae chha,GENERAL,1
105,baaluwaataara kaae jaggaa ta hadapekaae chha guthi tyasai chhaaedchhana baahuna haru le yaae eu taa sadayantra haae .,sadayantra haae,GENERAL,1
106,utha newaara daajubhaai didibahini saskariti bachaauna utha natra y0 dalaala le sarakaara le kaathamaadaum ra newaara samudaaya k0 saskariti metne kuchestaa garisa k0 .,metne kuchestaa garisa k0,GENERAL,1
107,utha newaara daajubhaai didibahini saskariti bachaauna utha natra y0 dalaala le sarakaara le kaathamaadaum ra newaara samudaaya k0 saskariti metne kuchestaa garisa k0 .,dalaala,GENERAL,1
108,guthi bidheyaka lyaayera desa nai bechne bh0 baahuna haru le he bhagawaana kasari hunchha bachaau mer0 desa laai .,bechne bh0,GENERAL,1
109,aba sattaa dhalchha netaa mantri saaida laage hunchha kaama chhaina mulaa haru .,mulaa,GENERAL,1
110,Dr surendra kc lai b0launu pardaina mc chamchaa haru .,mc chamchaa,GENERAL,1
111,"maa. padmaa aryaala laai eka prasna , bisnau paudela samdhi huna ki naath0 ?",naath0,GENERAL,1
112,"nepaala k0 sabaibhandaa saktisaali sumsthaa pradhaanamantri h0 , uhaan kai khalli maa bhae k0 Nepal Engineering C0llege sambadhita bhrastaachaara k0 pramaana chhaanawina garna laam0 samaya laagd0 rahechha .",bhrastaachaara,GENERAL,1
113,kati laajamard0 kuraa sarakaari jaggaa kati chha mantrilaai nai thaahai chhaina re khaali basera talaba bhattaa khaanchhau laaja maana .,laajamard0 kuraa,GENERAL,1
114,mantri bhandaa ni thulaae netaa bisnu paudela bhumaaphiyaa k0 dalaala bhae pachhi bicharaa mantri k0 pada maatra h0ina raajanitika jiwana nai samaapta hune h0laa ani ke k0 kaarwaahi .,dalaala,GENERAL,1
115,raajaa hudaa na desa bichiy0 na sarakaari jaggaa bichiy0 khaate paarti netaa aae saba bechna thaale .,bechna thaale,GENERAL,1
116,nimesa banjaade jyu k0 prasna k0 prastuti ati gahana chha .,gahana chha,GENERAL,0
117,"5 warsa y0 sarakaara tikne h0 bhane , sarakaari raa guthi k0 jaggaa sabai sarakaara maa basne hune haru k0 hune chha , , y0 , 2 / 3 nekaapaa sarakaara nai bhumaaphiyaa k0 h0 .",bhumaaphiyaa,GENERAL,1
118,yuwaraaja k0iraalaa jastaa desabhakta maanchhe chhan ra ta nepaala chha ani haami nepaali huna paae kaa chhaum .,desabhakta,GENERAL,0
119,"hats 0ff , salyuta yu sara .","hats 0ff , salyuta yu sara",GENERAL,0
120,haamr0 desa maa sabai dalaala ra bharsta haru k0 maatra raaja hune bhay0 desa kahile bikaasa nahune bhay0 naalaayaka ch0ra haru .,dalaala ra bharsta,GENERAL,1
121,yasa kaaryakrama here pachhi yasa desa maa aru 2 janaa sachchaa desabhakta haru pani rahechhan bhanne kuraa thaahaa bhay0 .,sachchaa desabhakta,GENERAL,0
122,padmaa aryaala k0 kur0 sundaa ty0 padmaa bhanne aimaai bisnau paudela k0 rakhela raichha bhanne maa kunai duimata rahena .,rakhela,GENERAL,1
123,aparaadhi daankaa haru le swarga k0 sapanaa dekhaaera kina raajaa phaale kaa rahechhna bhanne kuraa kammara muni k0 bhutlaa dekhine gari prasta bhay0 .,kammara muni k0 bhutlaa,GENERAL,1
124,sammaanita adaalata kaa nyaayadhisa nai bhrasta bhae pachhi garne ke ?,bhrasta,GENERAL,1
125,"yubaraaja k0iraalaa jastaa desa kaa suputra haru chhana , ra ta bhrasta netaa , dalaala ra bhumaaphiyaa haru laai chaina sanga desa lutna mile k0 chhaina natra ta kahi khaali thaau rahane thiena .",suputra,GENERAL,0
126,"yubaraaja k0iraalaa jastaa desa kaa suputra haru chhana , ra ta bhrasta netaa , dalaala ra bhumaaphiyaa haru laai chaina sanga desa lutna mile k0 chhaina natra ta kahi khaali thaau rahane thiena .","bhrasta netaa , dalaala ra bhumaaphiyaa",GENERAL,1
127,dhanyawaada yubaraaja k0iraalaa jyu .,dhanyawaada,GENERAL,0
128,dui tihaai k0 sarakaara laai laaja laagdaina ?,laaja laagdaina,GENERAL,1
129,bhanne belaa maa raajaa k0 naama maa bhae k0 sabai sampati sarakaara k0 naama lyaaunu parchha bhanna laaja pache k0 naalaayeka sarakaara .,laaja pache k0 naalaayeka,GENERAL,1
130,"h0ina , haamr0 desa maa yuwaraaja k0iraalaajyu jastaa saputa pani rahechhan , dhanya bhaen aja uhaan kaa kuraa sunera .",saputa,GENERAL,0
131,yast0 badamaasi ra janataa k0 raastriya sampati lutie k0 kuraa prathama ch0ti kh0ji anusandhaana garne bartamaana sarakaara k0 kadama raamr0 suruwaata .,raamr0 suruwaata,GENERAL,0
132,yi sabai luteraa huna .,luteraa,GENERAL,1
133,waaele k0 sundaa pani rau nai thad00 hinxa .,rau nai thad00,GENERAL,1
134,h0ina y0 kaantipura le kina jahilyai pani ekai kisima kaa aparaadhi haru maatra liera aunchha h0 raamr0 atithi napaaera h0 ki kaantipura k0 pani niyati kharaaba bhaera h0 .,niyati kharaaba,GENERAL,1
135,h0ina y0 kaantipura le kina jahilyai pani ekai kisima kaa aparaadhi haru maatra liera aunchha h0 raamr0 atithi napaaera h0 ki kaantipura k0 pani niyati kharaaba bhaera h0 .,aparaadhi,GENERAL,1
136,y0 kesaba badaala bhandaa aru kunai ch0ra chhaina nekapaa maa y0 saalaa k0 ta anuhaara hery0 ki saaita nai bigranchha ch0ra .,saalaa,GENERAL,1
137,y0 kesaba badaala bhandaa aru kunai ch0ra chhaina nekapaa maa y0 saalaa k0 ta anuhaara hery0 ki saaita nai bigranchha ch0ra .,saaita nai bigranchha ch0ra,GENERAL,1
138,3 janaa maahaa purusa k0 kuraa thika h0 tara mantri jyu k0 kuraa le prasta ke bujna sakinchha bhane aphn0 pada ra paati laai bachaaudai chhina .,kuraa thika,GENERAL,0
139,3 janaa maahaa purusa k0 kuraa thika h0 tara mantri jyu k0 kuraa le prasta ke bujna sakinchha bhane aphn0 pada ra paati laai bachaaudai chhina .,bachaaudai chhina,GENERAL,1
140,nepaala raajya k0 ainakaanuna bhai die k0 bhae sarakaari jamina byaakti k0 naama maa hune thiena .,hune thiena,GENERAL,1
141,antya maa ay0ga k0 bahanaa maa dhisamisa garne prapancha h0 .,prapancha,GENERAL,1
142,laajamard0 kuraa mantri pani andhaa dhundha ke bhairaa chha walla suniraachha mantraalaya maa upanyaasa padhera waschhe kyaa h0 .,laajamard0,GENERAL,1
143,y0 kesaba badaalabhanne jantu laai kunai pani tv chyaanala le kahilyai nab0laaunuh0sa y0 kahilyai saach0 b0ldaina ra mantri aryaala pani bhu maaphiyaa kai paksa maa chhina yastaa pani mantri !,jantu,GENERAL,1
144,he bhagawaan yestaa aimaai pani mantraalaya samhaalera base k0 chhna y0 desa maa. .. sugaa jast0 je si kaa k0 chha paarti le tyehi maatra b0le k0 aphn0 na buddi chha na anubhawa ... dhikkaara chha nepaali janataa laai yestaa aimaai laai jitaaune aru saba gumgaa ra bahiraa maatra chhna ki kyaa ty0 thaaun maa. .. .,he bhagawaan,GENERAL,1
145,he bhagawaan yestaa aimaai pani mantraalaya samhaalera base k0 chhna y0 desa maa. .. sugaa jast0 je si kaa k0 chha paarti le tyehi maatra b0le k0 aphn0 na buddi chha na anubhawa ... dhikkaara chha nepaali janataa laai yestaa aimaai laai jitaaune aru saba gumgaa ra bahiraa maatra chhna ki kyaa ty0 thaaun maa. .. .,dhikkaara,GENERAL,1
146,y0 sarakaara le atyantai raamr0kaarya garna laage k0 chha .,raamr0kaarya,GENERAL,0
147,jyaana k0 baaji lagaaera aru le kh0jera lyaae k0 mudaa maa sarakaaralaai kina garba garne bahiskaara garparchha .,bahiskaara garparchha,GENERAL,1
148,syaagjaa ki mumntri le jibr0 chapaaera b0li raaki chhe yasa laai sabai kur0 thaachha .,jibr0 chapaaera b0li,GENERAL,1
149,nepaala kaa netaa / neti k0 b0lne saili herera achamma laagy0 .,achamma laagy0,GENERAL,1
150,"chh0di diu bh0 netaa jyu h0 tapaai haru jast0 gu khaane baata y0 desa maa kehi hunna aba bikalpa ai saky0 sabai k0# , baisaakha 21 gate1 baje maaitighara maa aunuh0laa herna .",gu khaane,GENERAL,1
151,kaangresa yamaale maawa ripa .,ripa,GENERAL,1
152,"i jaagira garna ayakaalaai samarthana garinna , baru bibekasilasaajhaa laai garinchha aba .",garinchha,GENERAL,0
153,"i jaagira garna ayakaalaai samarthana garinna , baru bibekasilasaajhaa laai garinchha aba .",samarthana garinna,GENERAL,1
154,"timi mantri haru , samsada haru sabai naraamr0 kaama garna ra janataa laai dukha dina , nepaala ra nepaali laai phasaauna kh0je k0 chha ?",naraamr0 kaama garna,GENERAL,1
155,"timi mantri haru , samsada haru sabai naraamr0 kaama garna ra janataa laai dukha dina , nepaala ra nepaali laai phasaauna kh0je k0 chha ?",dukha dina,GENERAL,1
156,"timi mantri haru , samsada haru sabai naraamr0 kaama garna ra janataa laai dukha dina , nepaala ra nepaali laai phasaauna kh0je k0 chha ?",phasaauna kh0je k0 chha,GENERAL,1
157,"he bhagawaana yi padmaa aryala mantri k0 kuraa sundaa yati risa uchcha ke garnu bh0ta diyara galti gare janataa le , , .",risa uchcha,GENERAL,1
158,kesba ch0ra laai dekhe pani risa uthachha .,risa uthachha,GENERAL,1
159,y0 badaala bhanne maanisa ta bhumaaphiyaa haru k0 hanumaana p0 rahechha .,bhumaaphiyaa haru k0 hanumaana,GENERAL,1
